FirstByte	LastByte	Type	Compressed	Extracted	Description	Modified
0701E0	0701FF	PTR	No	No	Pointers to unknown data (first at 038D6C)	7/2/2003
070200	070C97	CODE	No	NA	SPC routines	5/23/2003
070C98			No	No		5/6/2003
070CEA	070DA3	PTR	No	No	BRR Pointers (62 addresses)	5/8/2003
070DA4			No	No		5/7/2003
070F18	071010	PTR	No	No	"SPC pointers (83 addresses), SPCs may be compressed, data doesn't match SPC files"	5/8/2003
071011	071A70	DATA	No	No	"Instrument table (83 elements, 32 bytes each)"	5/27/2003
071A71			No	No		5/27/2003
074509	07453A	???	No	No	Unknown 2 byte data	5/8/2003
07453B			No	No		5/8/2003
0750DB	075D44	???	No	No	Unknown 2 byte data	5/8/2003
075D45			No	No		5/8/2003
07750D	0783AE	BRR	No	No	(00) Silence	6/2/2003
0783AF	078B51	BRR	No	No	(01)	6/2/2003
078B52	078D81	BRR	No	No	(02)	6/2/2003
078D82	079D67	BRR	No	No	(03)	6/2/2003
079D68	07A513	BRR	No	No	(04)	6/2/2003
07A514	07B6A9	BRR	No	No	(05)	6/2/2003
07B6AA	07C0A7	BRR	No	No	(06)	6/2/2003
07C0A8	07CDD8	BRR	No	No	(07)	6/2/2003
07CDD9	07E193	BRR	No	No	(08)	6/2/2003
07E194	07E5A9	BRR	No	No	(09)	6/2/2003
07E5AA	07F73F	BRR	No	No	(0A)	6/2/2003
07F740	0805CF	BRR	No	No	(0B)	6/2/2003
0805D0	080D2A	BRR	No	No	(0C)	6/2/2003
080D2B	08159C	BRR	No	No	(0D)	6/2/2003
08159D	081EE6	BRR	No	No	(0E)	6/2/2003
081EE7	083034	BRR	No	No	(0F)	6/2/2003
083035	0839FC	BRR	No	No	(10)	6/2/2003
0839FD	08487A	BRR	No	No	(11)	6/2/2003
08487B	08587B	BRR	No	No	(12)	6/2/2003
08587C	085C64	BRR	No	No	(13)	6/2/2003
085C65	086FBC	BRR	No	No	(14)	6/2/2003
086FBD	087F63	BRR	No	No	(15)	6/2/2003
087F64	088B59	BRR	No	No	(16)	6/2/2003
088B5A	089104	BRR	No	No	(17)	6/2/2003
089105	089895	BRR	No	No	(18)	6/2/2003
089896	08A4B8	BRR	No	No	(19)	6/2/2003
08A4B9	08B417	BRR	No	No	(1A)	6/2/2003
08B418	08C847	BRR	No	No	(1B)	6/2/2003
08C848	08D6B3	BRR	No	No	(1C)	6/2/2003
08D6B4	08E3C0	BRR	No	No	(1D)	6/2/2003
08E3C1	08EEBA	BRR	No	No	(1E)	6/2/2003
08EEBB	08FDAD	BRR	No	No	(1F)	6/2/2003
08FDAE	091036	BRR	No	No	(20)	6/2/2003
091037	091D3A	BRR	No	No	(21) Musicbox	6/2/2003
091D3B	093BB7	BRR	No	No	(22)	6/2/2003
093BB8	094279	BRR	No	No	(23)	6/2/2003
09427A	0950C1	BRR	No	No	(24)	6/2/2003
0950C2	095B58	BRR	No	No	(25)	6/2/2003
095B59	096C04	BRR	No	No	(26)	6/2/2003
096C05	0979AA	BRR	No	No	(27)	6/2/2003
0979AB	09A7DE	BRR	No	No	(28)	6/2/2003
09A7DF	09B452	BRR	No	No	(29)	6/2/2003
09B453	09BDF6	BRR	No	No	(2A)	6/2/2003
09BDF7	09DB1D	BRR	No	No	(2B)	6/2/2003
09DB1E	09E695	BRR	No	No	(2C)	6/2/2003
09E696	09EF61	BRR	No	No	(2D)	6/2/2003
09EF62	09FA37	BRR	No	No	(2E)	6/2/2003
09FA38	0A0996	BRR	No	No	(2F)	6/2/2003
0A0997	0A18F5	BRR	No	No	(30)	6/2/2003
0A18F6	0A23D4	BRR	No	No	(31)	6/2/2003
0A23D5	0A2BF5	BRR	No	No	(32)	6/2/2003
0A2BF6	0A320C	BRR	No	No	(33)	6/2/2003
0A320D	0A3F3D	BRR	No	No	(34)	6/2/2003
0A3F3E	0A44BB	BRR	No	No	(35)	6/2/2003
0A44BC	0A4A66	BRR	No	No	(36)	6/2/2003
0A4A67	0A54BE	BRR	No	No	(37)	6/2/2003
0A54BF	0A6321	BRR	No	No	(38)	6/2/2003
0A6322	0A7E98	BRR	No	No	(39)	6/2/2003
0A7E99	0A81D6	BRR	No	No	(3A)	6/2/2003
0A81D7	0A851D	BRR	No	No	(3B)	6/2/2003
0A851E	0A8864	BRR	No	No	(3C)	6/2/2003
0A8865	0A8CCB	BRR	No	No	(3D)	6/2/2003
0A8CCC	0A8CF1	SPC	No	No	(00) Silence (this is actually played at the load screen)	5/8/2003
0A8CF2	0A91B2	SPC	No	No	(01) 1.05 - Memories of Green	5/8/2003
0A91B3	0A964D	SPC	No	No	(02) 1.09 - Wind Scene	5/8/2003
0A964E	0A9CB8	SPC	No	No	(03) 3.04 - Corridors of Time	5/8/2003
0A9CB9	0A9F84	SPC	No	No	"(04) 2.20 - Rhythm of Wind, Sky, and Earth"	5/8/2003
0A9F85	0AA0C2	SPC	No	No	(05) 2.01 - Ruined World	5/8/2003
0AA0C3	0AACA9	SPC	No	No	(06) 1.06 - Guardia Millenial Fair	5/8/2003
0AACAA	0AADF3	SPC	No	No	(07) 3.09 - Far Off Promise	5/8/2003
0AADF4	0AB3B1	SPC	No	No	(08) 1.11 - Secret of the Forest	5/8/2003
0AB3B2	0AB721	SPC	No	No	(09) 3.05 - Zeal Palace	5/8/2003
0AB722	0ABB4C	SPC	No	No	(0A) 2.10 - Remains of Factory	5/8/2003
0ABB4D	0ABE33	SPC	No	No	(0B) 2.19 - Ayla's Theme	5/8/2003
0ABE34	0AC34D	SPC	No	No	(0C) 1.13 - Courage and Pride	5/8/2003
0AC34E	0AC879	SPC	No	No	(0D) 2.05 - Lavos' Theme	5/8/2003
0AC87A	0ACABF	SPC	No	No	(0F) 1.03 - Morning Sunlight	5/8/2003
0ACAC0	0AD2EB	SPC	No	No	(0E) 2.09 - Robo's Theme	5/8/2003
0AD2EC	0AD412	SPC	No	No	(10) 1.15 - Manoria Cathedral	5/9/2003
0AD413	0AD554	SPC	No	No	(11) Sounds of the Ocean	5/9/2003
0AD555	0AD5AD	SPC	No	No	(12) Leene's Bell	5/9/2003
0AD5AE	0ADF80	SPC	No	No	(13) 3.10 - Wings that Cross Time	5/9/2003
0ADF81	0AE2F3	SPC	No	No	(14) 3.06 - Schala's Theme	5/9/2003
0AE2F4	0AE8DC	SPC	No	No	(15) 2.14 - Delightful Spekkio	5/9/2003
0AE8DD	0AEF53	SPC	No	No	(16) 1.23 - A Shot of Crisis	5/9/2003
0AEF54	0AF7FC	SPC	No	No	(17) 1.21 - Kingdom Trial	5/9/2003
0AF7FD	0B030B	SPC	No	No	(18) 1.02 - Chrono Trigger	5/9/2003
0B030C	0B0393	SPC	No	No	(19) Alert	5/9/2003
0B0394	0B0420	SPC	No	No	(1A) Tsunami	5/9/2003
0B0421	0B07E2	SPC	No	No	(1B) 1.20 - Fanfare 1	5/9/2003
0B07E3	0B0987	SPC	No	No	(1C) 2.12 - Fanfare 2	5/9/2003
0B0988	0B0D31	SPC	No	No	(1D) 3.03 - At the Bottom of the Night	5/9/2003
0B0D32	0B12F3	SPC	No	No	(1E) 1.04 - Peaceful Day	5/9/2003
0B12F4	0B15F1	SPC	No	No	(1F) 1.08 - A Strange Happening	5/9/2003
0B15F2	0B1655	SPC	No	No	(20) Dungeon dripping noise	5/12/2003
0B1656	0B16D5	SPC	No	No	(21) Running Water	5/27/2003
0B16D6	0B176B	SPC	No	No	(22) Wind	5/12/2003
0B176C	0B1C30	SPC	No	No	(23) 1.22 - The Hidden Truth	5/12/2003
0B1C31	0B1CF1	SPC	No	No	(24) 1.16 - A Prayer to the Road that Leads	5/12/2003
0B1CF2	0B1E15	SPC	No	No	(25) 1.14 - Huh?	5/12/2003
0B1E16	0B1F58	SPC	No	No	(26) 2.06 - The Day the World Revived	5/12/2003
0B1F59	0B24E0	SPC	No	No	(27) 2.07 - Robo Gang Johnny	5/12/2003
0B24E1	0B2E05	SPC	No	No	(28) 2.24 - Battle with Magus	5/12/2003
0B2E06	0B360E	SPC	No	No	(29) 1.18 - Boss Battle 1	5/12/2003
0B360F	0B3C37	SPC	No	No	(2A) 1.19 - Frog's Theme	5/12/2003
0B3C38	0B3D0A	SPC	No	No	(2B) 1.10 - Goodnight	5/12/2003
0B3D0B	0B4025	SPC	No	No	(2C) 2.08 - Bike Chase	5/12/2003
0B4026	0B4474	SPC	No	No	(2D) 2.04 - People who Threw Away the Will to Live	5/12/2003
0B4475	0B450D	SPC	No	No	(2E) 2.02 - Mystery of the Past	5/12/2003
0B450E	0B4995	SPC	No	No	(2F) 2.16 - Underground Sewer	5/12/2003
0B4996	0B4C22	SPC	No	No	(30) 1.01 - Presentiment	5/12/2003
0B4C23	0B510D	SPC	No	No	(31) 3.08 - Undersea Palace	5/12/2003
0B510E	0B5C69	SPC	No	No	(32) 3.14 - Last Battle	5/12/2003
0B5C6A	0B62B0	SPC	No	No	(33) 2.03 - Lab 16's Ruins	5/12/2003
0B62B1	0B633E	SPC	No	No	(34) Inside the Shell	5/12/2003
0B633F	0B63FA	SPC	No	No	(35) Quake	5/12/2003
0B63FB	0B6789	SPC	No	No	(36) 2.21 - Burn!  Bobonga!	5/12/2003
0B678A	0B6826	SPC	No	No	(37) Wormhole	5/27/2003
0B6827	0B7125	SPC	No	No	(38) 2.18 - Primitive Mountain	5/12/2003
0B7126	0B7E4F	SPC	No	No	(39) 3.13 - World Revolution	5/12/2003
0B7E50	0B7F56	SPC	No	No	(3A) Lavos Scream	5/12/2003
0B7F57	0B8600	SPC	No	No	(3B) 3.07 - Sealed Door	5/12/2003
0B8601	0B8D4F	SPC	No	No	(3C) 1.17 - Silent Light	5/12/2003
0B8D50	0B8E60	SPC	No	No	(3D) 2.15 - Fanfare 3	5/12/2003
0B8E61	0B9263	SPC	No	No	(3E) 2.13 - The Brink of Time	5/12/2003
0B9264	0BA537	SPC	No	No	(3F) 3.17 - To Far Away Times	5/12/2003
0BA538	0BA653	SPC	No	No	(40) 2.23 - Confusing Melody	5/12/2003
0BA654	0BA76A	SPC	No	No	(41) Hail Magus	5/12/2003
0BA76B	0BA8CC	SPC	No	No	(42) 1.07 - Gonzales' Song	5/12/2003
0BA8CD	0BA928	SPC	No	No	(43) Heckran Cave Water(?)	5/27/2003
0BA929	0BB1A2	SPC	No	No	(44) 3.11 - Black Dream	5/12/2003
0BB1A3	0BB804	SPC	No	No	(45) 1.12 - Battle 1	5/12/2003
0BB805	0BC1D5	SPC	No	No	(46) 3.02 - Tyran Castle	5/12/2003
0BC1D6	0BC385	SPC	No	No	(47) Fall of Mount Woe	5/12/2003
0BC386	0BC4F8	SPC	No	No	(48) 2.22 - Magus' Castle	5/12/2003
0BC4F9	0BCE52	SPC	No	No	(49) 3.15 - First Festival of Stars	5/12/2003
0BCE53	0BCF4B	SPC	No	No	(4A) The Destruction of Zeal	5/12/2003
0BCF4C	0BCFBC	SPC	No	No	(4B) Ocean Tide	5/12/2003
0BCFBD	0BD032	SPC	No	No	(4C) Lavos' Breath	5/12/2003
0BD033	0BD514	SPC	No	No	(4D) 3.16 - Epilogue - To Good Friends	5/12/2003
0BD515	0BE23F	SPC	No	No	(4E) 2.17 - Boss Battle 2	5/12/2003
0BE240	0BE33D	SPC	No	No	(4F) Fanfare 4	5/12/2003
0BE33E	0BEA8E	SPC	No	No	(50) 3.12 - Determination	5/12/2003
0BEA8F	0BF020	SPC	No	No	(51) 2.11 - Battle 2	5/12/2003
0BF021	0BF363	SPC	No	No	(52) 3.01 - Singing Mountain	6/3/2003
0BF364			No	No		5/8/2003
0BF394	0BF3F3	???	No	No	Unknown 4 byte data (Pattern: 28 C2 C4 xx)	5/8/2003
0BF3F4			No	No		5/8/2003
0C0191	0C01FF	---	No	NA	UNUSED SPACE (110 bytes)	5/8/2003
0C0200	0C042F	DATA	No	No	Character stats	5/20/2003
0C0430			No	No		5/12/2003
0C0462	0C0623	DATA	No	Yes	Weapon Stats (5 bytes each)	5/20/2003
0C0624	0C067D	---	No	NA	UNUSED SPACE (90 bytes)	5/13/2003
0C067E	0C072B	DATA	No	Yes	Armor Stats (3 bytes each)	5/20/2003
0C072C	0C07CB	DATA	No	No	Accessory Stats (4 bytes each)	5/20/2003
0C07CC			No	No		5/20/2003
0C086C	0C08A3	---	No	NA	UNUSED SPACE (56 bytes)	5/20/2003
0C08A4	0C0C1B	DATA	No	Yes	Item secondary stats (6 bytes each)	5/21/2003
0C0C1C	0C0CBB	DATA	No	Yes	Accessory secondary stats (4 bytes each)	5/21/2003
0C0CBC	0C0D5D	DATA	No	Yes	Consumable and Key item data (3 bytes each)	5/21/2003
0C0D5E	0C17CD	TXT	No	Yes	Item names (11 bytes each)	5/20/2003
0C17CE	0C1CCA	TXT	No	No	Tech names	5/1/2003
0C1CCB			No	No		5/1/2003
0C2E6D	0C2E9C	PTR	No	No	"Pointers to shop data (+0C0200, first at 0C2E9D)"	6/16/2003
0C2E9D	0C2F67	DATA	No	No	Shop data	6/16/2003
0C2F68			No	No		6/16/2003
0C30B1	0C3294	PTR	No	No	Pointers to item descriptions	5/13/2003
0C3295	0C38F3	TXT	No	No	Item descriptions (Huffman compressed)	5/13/2003
0C38F4	0C39FF	---	No	No	UNUSED SPACE (268 bytes)	5/13/2003
0C3A00	0C3AF1	PTR	No	No	"Pointers to unknown data (+0C0200, first at 0C3B04, overlaps tech descriptions)"	7/2/2003
0C3AF2	0C3B03	---	No	NA	UNUSED SPACE (18 bytes)	6/16/2003
0C3B04	0C3C08	???	No	No	Unknown data	6/16/2003
0C3C09	0C3CFA	PTR	No	No	"Pointers to tech descriptions (+0C0200, first at 0C3D0D)"	5/22/2003
0C3CFB			No	No		5/22/2003
0C3D0D	0C45AE	TXT	No	No	Tech descriptions (Huffman compressed)	5/22/2003
0C45AF	0C48FF	---	No	NA	UNUSED SPACE (849 bytes)	5/22/2003
0C4900	0C5FFF	DATA	No	No	"Enemy stats (23 bytes each), 115 wasted bytes"	4/24/2003
0C6000	0C66FF	DATA	No	No	"Enemy rewards (7 bytes each), 36 wasted bytes"	4/24/2003
0C6700	0C71C8	TXT	No	No	"Enemy names (11 bytes each), 251 strings"	4/24/2003
0C71C9			No	No		4/24/2003
0CCDC9	0CCF8F	PTR	No	No	"Pointers to battle messages (+0C0200, first at 0CCF90)"	5/23/2003
0CCF90	0CDFC5	TXT	No	No	Battle messages (Huffman compressed)	5/23/2003
0CDFC6			No	No		5/23/2003
0CE200	0CF582	CODE	No	NA	Unknown routines	5/6/2003
0CF583			No	No		5/6/2003
0D0200	0D0F27	CODE	No	NA	Unknown routines	5/6/2003
0D0F28			No	No		5/6/2003
0D1514	0D1853	CODE	No	NA	Unknown routines	5/6/2003
0D1854			No	No		5/6/2003
0D3D5F	0D419D	CODE	No	NA	Unknown routines	5/6/2003
0D419E			No	No		5/6/2003
0EDE1B	0EE1FF	---	No	NA	UNUSED SPACE (997 bytes)	5/23/2003
0EE200			No	No		5/23/2003
0EF06E	0EF2E5	CODE	No	NA	Unknown routines	5/6/2003
0EF2E6			No	No		5/6/2003
0F0200	0F81FF	GFX	No	No	Unknown 4 plane graphics	4/29/2003
0F8200			No	No		4/29/2003
0F8A00	0FA1FF	???	No	No	Unknown 2 byte data	5/12/2003
0FA200			No	No		5/12/2003
0FE500	100084	CODE	No	NA	Unknown routines	5/6/2003
100085	1001FF	---	No	NA	UNUSED SPACE (379 bytes)	5/6/2003
100200	10E0BF	GFX	No	No	"Unknown graphics, may be 4 plane or 3 plane or mixed"	5/6/2003
10E0C0	10E1FF	---	No	NA	UNUSED SPACE (320 bytes)	4/29/2003
10E200			No	No		4/29/2003
10FF60	1101FF	---	No	NA	UNUSED SPACE (672 bytes)	4/29/2003
110200			No	No		4/29/2003
113B00	1142FF	GFX	No	No	Status ailment graphics (4 plane)	4/29/2003
114300			No	No		4/29/2003
11E97C	11EC20	CODE	No	NA	Unknown routines	5/6/2003
11EC21			No	No		5/6/2003
11F3B0	1200F3	CODE	No	NA	Unknown routines	5/6/2003
1200F4	1201FF	---	No	NA	UNUSED SPACE (268 bytes)	4/29/2003
120200	1274BF	GFX	No	No	Magus sprites	5/1/2003
1274C0	12EA5F	GFX	No	No	Crono sprites	5/1/2003
12EA60			No	No		7/7/2003
12F080	12FA5D	GFX	Yes	No	(E5) NPC and Enemy Graphics	7/7/2003
12FA5E	130193	GFX	Yes	No	(DC) NPC and Enemy Graphics	7/7/2003
130194			No	No		7/7/2003
130200	136D3F	GFX	No	No	Frog sprites	5/1/2003
136D40	13E47F	GFX	No	No	Lucca sprites	5/1/2003
13E480	13E945	GFX	Yes	No	(B6) NPC and Enemy Graphics	7/7/2003
13E946	13EAA8	GFX	Yes	No	(B7) NPC and Enemy Graphics	7/7/2003
13EAA9	13EC5A	GFX	Yes	No	(B8) NPC and Enemy Graphics	7/7/2003
13EC5B	13F013	GFX	Yes	No	(BB) NPC and Enemy Graphics	7/7/2003
13F014	13F0AF	GFX	Yes	No	(BC) NPC and Enemy Graphics	7/7/2003
13F0B0	13F249	GFX	Yes	No	(BD) NPC and Enemy Graphics	7/7/2003
13F24A	13F2AB	GFX	Yes	No	(BF) NPC and Enemy Graphics	7/7/2003
13F2AC	13F39C	GFX	Yes	No	(C0) NPC and Enemy Graphics	7/7/2003
13F39D	13F4A6	GFX	Yes	No	(C1) NPC and Enemy Graphics	7/7/2003
13F4A7	13F5CB	GFX	Yes	No	(C2) NPC and Enemy Graphics	7/7/2003
13F5CC	13F7BC	GFX	Yes	No	(C3) NPC and Enemy Graphics	7/7/2003
13F7BD	13F838	GFX	Yes	No	(C5) NPC and Enemy Graphics	7/7/2003
13F839	13F870	GFX	Yes	No	(D0) NPC and Enemy Graphics	7/7/2003
13F871	13F90A	GFX	Yes	No	(D3) NPC and Enemy Graphics	7/7/2003
13F90B	13F9A6	GFX	Yes	No	(D6) NPC and Enemy Graphics	7/7/2003
13F9A7	13FB95	GFX	Yes	No	(D7) NPC and Enemy Graphics	7/7/2003
13FB96	13FD9D	GFX	Yes	No	(CB) NPC and Enemy Graphics	7/7/2003
13FD9E	13FE55	GFX	Yes	No	(CD) NPC and Enemy Graphics	7/7/2003
13FE56	13FFBA	GFX	Yes	No	(28) NPC and Enemy Graphics	7/7/2003
13FFBB	140036	GFX	Yes	No	(E9) NPC and Enemy Graphics	7/7/2003
140037	1400C8	GFX	Yes	No	(E8) NPC and Enemy Graphics	7/7/2003
1400C9	1401D7	GFX	Yes	No	(EA) NPC and Enemy Graphics	7/7/2003
1401D8			No	No		7/7/2003
140200	147E3F	GFX	No	No	Marle sprites	5/1/2003
147E40	14FCFF	GFX	No	No	Robo sprites	5/1/2003
14FD00	14FEFA	GFX	Yes	No	(AC) NPC and Enemy Graphics	7/7/2003
14FEFB	14FFAF	GFX	Yes	No	(AD) NPC and Enemy Graphics	7/7/2003
14FFB0	150172	GFX	Yes	No	(B4) NPC and Enemy Graphics	7/7/2003
150173			No	No		7/7/2003
150200	158DFF	GFX	No	No	Ayla sprites	5/1/2003
158E00	15A23F	GFX	Yes	No	(94) NPC and Enemy Graphics	7/7/2003
15A240	15B498	GFX	Yes	No	(9D) NPC and Enemy Graphics	7/7/2003
15B499	15E377	GFX	Yes	No	(9E) NPC and Enemy Graphics	7/7/2003
15E378	15E3B4	GFX	Yes	No	(A0) NPC and Enemy Graphics	7/7/2003
15E3B5	15FAF6	GFX	Yes	No	(52) NPC and Enemy Graphics	7/7/2003
15FAF7	1601F9	GFX	Yes	No	(62) NPC and Enemy Graphics	7/7/2003
1601FA			No	No		7/7/2003
160200	1616EE	GFX	Yes	No	(53) NPC and Enemy Graphics	7/7/2003
1616EF	162B61	GFX	Yes	No	(57) NPC and Enemy Graphics	7/7/2003
162B62	1647F2	GFX	Yes	No	(6B) NPC and Enemy Graphics	7/7/2003
1647F3	164EB9	GFX	Yes	No	(4A) NPC and Enemy Graphics	7/7/2003
164EBA	16621D	GFX	Yes	No	(5A) NPC and Enemy Graphics	7/7/2003
16621E	166C11	GFX	Yes	No	(5B) NPC and Enemy Graphics	7/7/2003
166C12	1681B5	GFX	Yes	No	(5C) NPC and Enemy Graphics	7/7/2003
1681B6	168DA2	GFX	Yes	No	(5D) NPC and Enemy Graphics	7/7/2003
168DA3	169989	GFX	Yes	No	(5E) NPC and Enemy Graphics	7/7/2003
16998A	16A48C	GFX	Yes	No	(5F) NPC and Enemy Graphics	7/7/2003
16A48D	16AB39	GFX	Yes	No	(63) NPC and Enemy Graphics	7/7/2003
16AB3A	16B9D8	GFX	Yes	No	(65) NPC and Enemy Graphics	7/7/2003
16B9D9	16C97D	GFX	Yes	No	(A6) NPC and Enemy Graphics	7/7/2003
16C97E	16F009	GFX	Yes	No	(50) NPC and Enemy Graphics	7/7/2003
16F00A	16F5DD	GFX	Yes	No	(61) NPC and Enemy Graphics	7/7/2003
16F5DE	16FBF7	GFX	Yes	No	(56) NPC and Enemy Graphics	7/7/2003
